attend_mf,attend_lr,acoustic_condition,n_speakers,wavfile_male,wavfile_female,trigger
1,2,1,1,'dss.wav','',254
2,1,2,2,'aske_story4_trial_1.wav','marianne_story3_trial_1.wav',133
2,2,1,2,'aske_story4_trial_2.wav','marianne_story3_trial_2.wav',135
1,1,1,1,'dss.wav','',252
2,2,2,2,'aske_story4_trial_3.wav','marianne_story3_trial_3.wav',150
2,1,1,2,'aske_story4_trial_4.wav','marianne_story3_trial_4.wav',192
2,2,2,2,'aske_story4_trial_5.wav','marianne_story3_trial_5.wav',150
2,1,3,2,'aske_story4_trial_6.wav','marianne_story3_trial_6.wav',224
2,2,2,2,'aske_story4_trial_7.wav','marianne_story3_trial_7.wav',150
2,1,1,2,'aske_story4_trial_8.wav','marianne_story3_trial_8.wav',192
2,1,3,2,'aske_story4_trial_9.wav','marianne_story3_trial_9.wav',224
2,2,3,2,'aske_story4_trial_10.wav','marianne_story3_trial_10.wav',131
2,2,3,2,'aske_story6_trial_1.wav','marianne_story3_trial_11.wav',131
2,1,2,2,'aske_story6_trial_2.wav','marianne_story3_trial_12.wav',133
1,1,1,1,'dss.wav','',252
2,2,3,2,'aske_story6_trial_3.wav','marianne_story3_trial_13.wav',131
2,2,1,2,'aske_story6_trial_4.wav','marianne_story3_trial_14.wav',135
2,1,1,2,'aske_story6_trial_5.wav','marianne_story3_trial_15.wav',192
2,1,3,2,'aske_story6_trial_6.wav','marianne_story3_trial_16.wav',224
2,2,2,2,'aske_story6_trial_7.wav','marianne_story3_trial_17.wav',150
1,1,3,2,'aske_story1_trial_1.wav','marianne_story4_trial_1.wav',240
1,1,3,2,'aske_story1_trial_2.wav','marianne_story4_trial_2.wav',240
1,2,1,2,'aske_story1_trial_3.wav','marianne_story4_trial_3.wav',160
1,2,1,2,'aske_story1_trial_4.wav','marianne_story4_trial_4.wav',160
1,1,1,2,'aske_story1_trial_5.wav','marianne_story4_trial_5.wav',141
1,2,1,1,'dss.wav','',254
1,1,1,2,'aske_story1_trial_6.wav','marianne_story4_trial_6.wav',141
1,2,2,2,'aske_story1_trial_7.wav','marianne_story4_trial_7.wav',132
1,2,2,2,'aske_story1_trial_8.wav','marianne_story4_trial_8.wav',132
1,1,1,2,'aske_story1_trial_9.wav','marianne_story4_trial_9.wav',141
1,2,3,2,'aske_story1_trial_10.wav','marianne_story4_trial_10.wav',248
1,1,3,2,'aske_story1_trial_11.wav','marianne_story4_trial_11.wav',240
1,1,1,2,'aske_story1_trial_12.wav','marianne_story4_trial_12.wav',141
1,2,3,2,'aske_story2_trial_1.wav','marianne_story4_trial_13.wav',248
1,2,2,2,'aske_story2_trial_2.wav','marianne_story4_trial_14.wav',132
1,1,2,2,'aske_story2_trial_3.wav','marianne_story4_trial_15.wav',137
1,2,3,2,'aske_story2_trial_4.wav','marianne_story4_trial_16.wav',248
1,1,3,2,'aske_story2_trial_5.wav','marianne_story4_trial_17.wav',240
1,1,2,2,'aske_story2_trial_6.wav','marianne_story4_trial_18.wav',137
1,1,1,2,'aske_story2_trial_7.wav','marianne_story4_trial_19.wav',141
1,1,1,1,'dss.wav','',252
1,2,1,2,'aske_story2_trial_8.wav','marianne_story4_trial_20.wav',160
1,1,1,2,'aske_story2_trial_9.wav','marianne_story4_trial_21.wav',141
1,2,2,2,'aske_story2_trial_10.wav','marianne_story4_trial_22.wav',132
1,2,1,1,'dss.wav','',254
1,1,3,2,'aske_story2_trial_11.wav','marianne_story4_trial_23.wav',240
2,2,1,2,'aske_story5_trial_1.wav','marianne_story1_trial_1.wav',135
2,1,2,2,'aske_story5_trial_2.wav','marianne_story1_trial_2.wav',133
2,2,2,2,'aske_story5_trial_3.wav','marianne_story1_trial_3.wav',150
2,2,2,2,'aske_story5_trial_4.wav','marianne_story2_trial_1.wav',150
2,2,1,2,'aske_story5_trial_5.wav','marianne_story2_trial_2.wav',135
2,1,2,2,'aske_story5_trial_6.wav','marianne_story2_trial_3.wav',133
2,2,2,2,'aske_story5_trial_7.wav','marianne_story2_trial_4.wav',150
2,2,2,2,'aske_story5_trial_8.wav','marianne_story2_trial_5.wav',150
2,1,2,2,'aske_story5_trial_9.wav','marianne_story2_trial_6.wav',133
1,1,1,2,'aske_story3_trial_1.wav','marianne_story5_trial_1.wav',141
1,1,2,2,'aske_story3_trial_2.wav','marianne_story5_trial_2.wav',137
1,1,1,2,'aske_story3_trial_3.wav','marianne_story5_trial_3.wav',141
1,1,3,2,'aske_story3_trial_4.wav','marianne_story5_trial_4.wav',240
1,2,1,1,'dss.wav','',254
1,2,1,1,'dss.wav','',254
1,2,3,2,'aske_story3_trial_5.wav','marianne_story5_trial_5.wav',248
1,1,1,1,'dss.wav','',252
1,1,1,2,'aske_story3_trial_6.wav','marianne_story5_trial_6.wav',141
1,1,1,1,'dss.wav','',252
1,2,3,2,'aske_story3_trial_7.wav','marianne_story5_trial_7.wav',248
1,2,3,2,'aske_story3_trial_8.wav','marianne_story5_trial_8.wav',248
1,1,3,2,'aske_story3_trial_9.wav','marianne_story5_trial_9.wav',240
1,2,1,2,'aske_story3_trial_10.wav','marianne_story5_trial_10.wav',160
1,2,3,2,'aske_story3_trial_11.wav','marianne_story5_trial_11.wav',248
